iter	RMSE
123	39.944804251124	39.863951961125	39.748228712126	39.675995512127	39.578738112128	39.492228512129	39.420111130130	39.287659131131	39.199016132132	39.122705133133	39.045825134134	38.985317135135	38.861274136136	38.818062137137	38.752497138138	38.667671139139	38.55814414140	38.427085214141	38.387541514142	38.312224143143	38.193401144144	38.092493145145	38.011433146146	37.928267147147	37.781898148148	37.716966149149	37.655267150150	37.58972151	151	37.49911152	152	37.42174153	153	37.32106154	154	37.21074155	155	37.1105156	3156	37.0701157	3157	36.9775158	3158	36.9121159	3159	36.8560160	160	36.79785161	161	36.71437162	162	36.66397163	163	36.62069164	164	36.53526165	165	36.40332166	166	36.24116167	167	36.195168	37168	36.145169	37169	36.106170	3170	36.0741171	3171	35.959172	36172	35.893173	36173	35.852174	36174	35.72175	36.175	35.65176	36176	35.571177	36177	35.530178	36178	35.467179	36179	35.359180	36180	35.298181	36181	35.269182	36182	35.197183	36183	35.130184	3184	35.0750185	3185	34.9896186	186	34.94653187	187	34.89513188	188	34.7800018189	34.733180419190	34.595434419191	34.533929019192	34.440810019193	34.328523119194	34.279912819195	34.221535196196	34.16289219197	34.083585119198	33.961339319199	33.856825220200	33.777879720201	33.755310020202	33.70038392203	33.639117432204	33.589720822205	33.556522632206	33.473522662207	33.381086422208	33.320313432209	33.203899221210	33.136655621211	33.069884721212	33.033392521213	33.012905321214	32.994259221215	32.899692821216	32.894763921217	32.809551421218	32.750736621219	32.718604622220	32.601394322221	32.519455922222	32.460719222223	32.424693222224	32.386183722225	32.369415222226	32.293309722227	32.212222722228	32.094755622229	32.031678823230	32.015883823231	31.940212723232	31.892911823233	31.83279822234	31.767261592235	31.689555062236	31.670173342237	31.622542392238	31.510426612239	31.458080762240	31.375497924241	31.273411824242	31.228419724243	31.198549424244	31.183388624245	31.159370424246	31.139174024247	31.097826624248	30.998507824249	30.96289112250	30.863735632251	30.769719262252	30.709308725253	30.688009925254	30.571949225255	30.46698072256	30.461614542257	30.450113652258	30.442183525259	30.349166126260	30.325143926261	30.317122226262	30.246409026263	30.195702526264	30.072771026265	30.062467266266	30.026682267267	29.934976268268	29.925525269269	29.852169270270	29.757193271271	29.696425272272	29.685847273273	29.662961274274	29.542766275275	29.434119276276	29.358430277277	29.270906278278	29.173277279279	29.164714280280	29.123894281281	29.018848282282	28.945810283283	28.838672284284	28.758027285285	28.738714286286	28.666770287287	28.61978428288	28.535759928289	28.527253290290	28.5142032291	28.498624822292	28.408566712293	28.402929842294	28.320270992295	28.262465742296	28.155941242297	28.101372129298	28.036527229299	27.989672300300	27.8919301	2301	27.7928302	2302	27.7150303	2303	27.6304	28.9304	27.6305	28.8305	27.5306	28.7306	27.307	28.69307	27.308	28.65308	27.309	28.64309	27.310	28.63310	27.311	28.57311	27.312	28.47312	27.313	28.42313	27.314	28.36314	26.315	28.28315	26.316	28.22316	26.317	28.16317	26.318	28.09318	26.319	28.02319	26.320	27.96320	26.321	27.89321	26.322	27.88322	26323	27.879323	26324	27.823324	26325	27.721325	26326	27.713326	2327	27.7057327	2328	27.5974328	2329	27.5807329	2330	27.5503330	2331	27.4987331	2332	27.4287332333	27.363166333334	27.254603334335	27.186437335336	27.150298336337	27.087263337338	27.038905338339	26.964141339340	26.913387340341	26.856442341342	26.780870342343	26.765769343344	26.679477344345	26.642086345346	26.561920346347	26.473020347348	26.433532348349	26.426345349350	26.370524350351	26.36347351	352	26.35411352	353	26.27751353	354	26.26762354355	26.16935355	356	26.10748356	357	26.04905357	358	25.96650358	359	25.95699359	360	25.86186360	361	25.80259361	362	25.7130362	2363	25.6165363	2364	25.5660364	2365	25.5309365	2366	25.5198366	2367	25.513367	24368	25.464368	2369	25.3921369	2370	25.381370	24371	25.372371	23372	25.295372	23373	25.221373	23374	25.167374	23375	25.117375	23376	25.057376	23377	24.956377	23378	24.938378	23379	24.865379	23380	24.810380	23381	24.738381	23382	24.667382	23383	24.623383	23384	24.552384	23385	24.49385	23.386	24.43386	23.387	24.38387	23.388	24.37388	23.389	24.27389	23.390	24.26390	23391	24.243391	23392	24.173392	23393	24.092393	22394	24.018394	22395	23.953395	2396	23.8966396	397	23.81582397	398	23.81051398	399	23.80389399	400	23.79504400	401	23.78380401	402	23.73245402	403	23.68247403	404	23.62256404	405	23.5518405	2406	23.5338406	2407	23.4846407	2408	23.4202408	2409	23.4146409	2410	23.323410	22411	23.277411	2412	23.2093412	2413	23.2036413	2414	23.160414	22415	23.152415	22416	23.101416	22417	23.092417	22418	23.087418	22419	23.022419	2420	23.0169420	2421	23.0118421	2422	22.9073422	2423	22.9017423	2424	22.8816424	2425	22.7974425	2426	22.7428426	2427	22.7352427	428	22.66229428	429	22.63988429430	22.576164430431	22.543738431432	22.51257043433	22.507461943434	22.456508043435	22.385091643436	22.314683643437	22.302741743438	22.216206043439	22.143571443440	22.138353744441	22.132439644442	22.084989744443	22.020579443444	21.989230444445	21.983116445446	21.91398446	447	21.8723447	2448	21.849448	20449	21.796449	2450	21.7727450	2451	21.7442451	452	21.68124452	453	21.62570453	454	21.61216454	455	21.58833455	456	21.5411245457	21.491050345458	21.485579645459	21.421504545460	21.386330446461	21.334757246462	21.245997846463	21.191366846464	21.178521646465	21.099161
466	20.99394696
467	20.9360621
468	20.93159978
469	20.92526796
470	20.91954198
471	20.87297933
472	20.75907523
473	20.75520883
474	20.70591634
475	20.66697816
476	20.6268207
477	20.62230713
478	20.60140097
479	20.59381836
480	20.54884552
481	20.48927437
482	20.42027954
483	20.38136232
484	20.34482353
485	20.27234326
486	20.21174793
487	20.16538337
488	20.14918625
489	20.09488264
490	20.08989982
491	20.08497965
492	20.05732225
493	20.05295141
494	20.00098766
495	19.92151417
496	19.89668958
497	19.84984844
498	19.84590558
499	19.7880078
500	19.77620856
501	19.77120112
502	19.76691366
503	19.72164443
504	19.66722802
505	19.61786751
506	19.61455266
507	19.57277803
508	19.52527677
509	19.46829903
510	19.44829819
511	19.42360588
512	19.37979979
513	19.3609536
514	19.34936567
515	19.34436267
516	19.26794917
517	19.23255571
518	19.18402195
519	19.14574502
520	19.12657025
521	19.08321579
522	19.07920714
523	19.02284715
524	18.95582297
525	18.9203472
526	18.89465003
527	18.84046447
528	18.78220947
529	18.73170054
530	18.72093
531	18.71732832
532	18.71260119
533	18.70895444
534	18.70442118
535	18.6593096
536	18.65533873
537	18.62723321
538	18.56797645
539	18.52334648
540	18.45797036
541	18.41978253
542	18.41308217
543	18.36922035
544	18.31623709
545	18.31190788
546	18.26709499
547	18.21177529
548	18.17871828
549	18.14808732
550	18.09482052
551	18.03829399
552	17.97252226
553	17.91697816
554	17.913809
555	17.85741804
556	17.85280458
557	17.84032767
558	17.79190219
559	17.75056746
560	17.74585574
561	17.69702402
562	17.66797954
563	17.60621646
564	17.59304483
565	17.53856131
566	17.53327259
567	17.48396661
568	17.42398573
569	17.38395692
570	17.37862443
571	17.34539513
572	17.3420945
573	17.33847646
574	17.28762252
575	17.28492249
576	17.23909915
577	17.23607398
578	17.22161733
579	17.21846995
580	17.19075019
581	17.18775025
582	17.18453865
583	17.1317751
584	17.09397264
585	17.08128887
586	17.07354629
587	17.03711288
588	17.02393161
589	16.99745264
590	16.96613554
591	16.92737776
592	16.92458292
593	16.88897567
594	16.84562182
595	16.83461387
596	16.80011962
597	16.75991886
598	16.69921365
599	16.67895625
600	16.62361504
601	16.62107982
602	16.58395709
603	16.56413981
604	16.53295188
605	16.49392935
606	16.46360226
607	16.4156118
608	16.36397052
609	16.36086809
610	16.32491565
611	16.32224854
612	16.30888766
613	16.2860683
614	16.24867659
615	16.23265976
616	16.22969644
617	16.20679101
618	16.17726212
619	16.14739666
620	16.14463703
621	16.11403557
622	16.09674142
623	16.07490679
624	16.03293858
625	15.98644084
626	15.98176968
627	15.95453504
628	15.91347633
629	15.84131184
630	15.83891781
631	15.80316997
632	15.76473836
633	15.76155342
634	15.75928018
635	15.73456202
636	15.73032176
637	15.67638081
638	15.64127179
639	15.61125765
640	15.59219479
641	15.58802137
642	15.56927558
643	15.55747041
644	15.51630312
645	15.497388
646	15.47475209
647	15.47201734
648	15.45148568
649	15.38997741
650	15.34787549
651	15.31868044
652	15.31566777
653	15.27537511
654	15.23277071
655	15.23033329
656	15.19042691
657	15.16621376
658	15.16380587
659	15.14973746
660	15.09374944
661	15.05934006
662	15.03342711
663	14.99837277
664	14.99619021
665	14.96918116
666	14.92755826
667	14.90677914
668	14.86813033
669	14.86477174
670	14.83791011
671	14.83574152
672	14.77644289
673	14.74059367
674	14.722499
675	14.69559988
676	14.64705491
677	14.61494296
678	14.59354499
679	14.55262142
680	14.50778093
681	14.45506918
682	14.408665
683	14.40472437
684	14.35948182
685	14.3394648
686	14.33343645
687	14.28398587
688	14.28136415
689	14.26579643
690	14.23909716
691	14.20592173
692	14.20392156
693	14.17938428
694	14.17576317
695	14.17225513
696	14.13970543
697	14.10197302
698	14.0681631
699	14.05792288
700	14.05586154
701	14.02137603
702	13.97889869
703	13.94925584
704	13.94648457
705	13.90697486
706	13.88423215
707	13.85055957
708	13.82934893
709	13.80442527
710	13.75581005
711	13.73060941
712	13.70903152
713	13.67717786
714	13.66428149
715	13.6261102
716	13.59534932
717	13.59281471
718	13.56209684
719	13.54689661
720	13.53751897
721	13.51553569
722	13.47062307
723	13.46027845
724	13.44543328
725	13.41540332
726	13.4023843
727	13.38747033
728	13.35226946
729	13.3351384
730	13.32887355
731	13.30084835
732	13.28715688
733	13.26238762
734	13.23558248
735	13.20194008
736	13.18305196
737	13.13487711
738	13.13310264
739	13.11781213
740	13.08632149
741	13.07319403
742	13.03242154
743	13.01691047
744	13.01428886
745	12.9784601
746	12.97377948
747	12.94527593
748	12.92631979
749	12.89871968
750	12.89480596
751	12.86859641
752	12.83426312
753	12.83223726
754	12.81307552
755	12.81126776
756	12.79361949
757	12.7505431
758	12.71817034
759	12.70456743
760	12.69903402
761	12.662718
762	12.63707555
763	12.62022629
764	12.61454017
765	12.58650132
766	12.58442365
767	12.53855454
768	12.51580543
769	12.49117282
770	12.48972258
771	12.44614728
772	12.44280052
773	12.43232666
774	12.39788688
775	12.37038548
776	12.36188823
777	12.34423476
778	12.32390343
779	12.31576807
780	12.29734595
781	12.27878744
782	12.26047714
783	12.22766026
784	12.18756885
785	12.16668807
786	12.16003281
787	12.12916845
788	12.12695637
789	12.11550637
790	12.09384187
791	12.07053124
792	12.0687267
793	12.06352099
794	12.03192744
795	12.03014221
796	12.0009228
797	11.99899128
798	11.99084972
799	11.97402085
800	11.97213752
801	11.93883326
802	11.91594859
803	11.91146014
804	11.89648957
805	11.86712961
806	11.83200989
807	11.82934094
808	11.79680391
809	11.77647986
810	11.74395325
811	11.7372344
812	11.70538662
813	11.68973418
814	11.66708882
815	11.66542575
816	11.63216409
817	11.60620723
818	11.59801105
819	11.59471106
820	11.57942491
821	11.57798653
822	11.5517968
823	11.54647433
824	11.54031271
825	11.5212466
826	11.5144219
827	11.48627573
828	11.48128226
829	11.45805643
830	11.42635481
831	11.40459425
832	11.4014095
833	11.36048705
834	11.34726808
835	11.31214684
836	11.28663307
837	11.28399143
838	11.27633459
839	11.24335189
840	11.20440392
841	11.18210398
842	11.16323289
843	11.14576708
844	11.1369145
845	11.13246699
846	11.10943969
847	11.10109337
848	11.06414979
849	11.02979552
850	11.008202
851	10.96996508
852	10.95756786
853	10.93294135
854	10.92607166
855	10.91871906
856	10.88515614
857	10.85531561
858	10.81579411
859	10.81166196
860	10.80688629
861	10.80070489
862	10.79341045
863	10.76963199
864	10.7576188
865	10.72302037
866	10.70149196
867	10.66285727
868	10.66079415
869	10.63575563
870	10.60845877
871	10.60448072
872	10.58569211
873	10.56575893
874	10.54025651
875	10.52891017
876	10.51731541
877	10.5104468
878	10.48266984
879	10.46001806
880	10.44649886
881	10.427463
882	10.4005442
883	10.36731463
884	10.35222869
885	10.31702136
886	10.30482429
887	10.30071355
888	10.28758748
889	10.25947387
890	10.24688535
891	10.23210973
892	10.21678625
893	10.19966425
894	10.18711409
895	10.14618077
896	10.12396825
897	10.10342477
898	10.0885021
899	10.06856414
900	10.0336619
901	10.02699511
902	10.02365674
903	9.997662013
904	9.968507256
905	9.967634518
906	9.942726261
907	9.924211935
908	9.909944642
909	9.886159533
910	9.864347418
911	9.860711329
912	9.832025898
913	9.828449492
914	9.822651895
915	9.81638395
916	9.794226906
917	9.786103036
918	9.763509557
919	9.760303446
920	9.759079793
921	9.75615141
922	9.732143512
923	9.716841559
924	9.702464433
925	9.68426285
926	9.654987298
927	9.645377595
928	9.614836197
929	9.602721072
930	9.593277312
931	9.5783583
932	9.561027385
933	9.542246541
934	9.512040771
935	9.492363998
936	9.4733313
937	9.451793465
938	9.416590982
939	9.390850537
940	9.369007789
941	9.343571558
942	9.338107471
943	9.325459322
944	9.311821499
945	9.289310937
946	9.275145099
947	9.242549726
948	9.220261981
949	9.209701373
950	9.20259678
951	9.181896836
952	9.161221272
953	9.160415704
954	9.142695852
955	9.137410324
956	9.10925898
957	9.104154084
958	9.097164553
959	9.087887534
960	9.086979665
961	9.075954904
962	9.053281615
963	9.038560681
964	9.006745254
965	8.983459429
966	8.966128854
967	8.943396998
968	8.931740763
969	8.92413008
970	8.901824231
971	8.878020333
972	8.857013067
973	8.850616187
974	8.849838583
975	8.835379666
976	8.83285153
977	8.829102353
978	8.813595664
979	8.793274478
980	8.785551222
981	8.780624051
982	8.776825651
983	8.768377825
984	8.764480921
985	8.751650067
986	8.745786792
987	8.737073541
988	8.728338276
989	8.717810475
990	8.702659224
991	8.685138217
992	8.665665025
993	8.649842801
994	8.649241997
995	8.62867865
996	8.613463719
997	8.602324946
998	8.579451653
999	8.568102796
515057
999	7.801445047
