iter	Passed	Remaining
410	4729	6778
411	4746	6773
412	4758	6764
413	4766	6746
414	4779	6737
415	4796	6733
416	4811	6727
417	4825	6718
418	4833	6702
419	4848	6696
420	4858	6681
421	4875	6677
422	4884	6663
423	4894	6648
424	4907	6639
425	4914	6622
426	4921	6604
427	4931	6590
428	4950	6588
429	4960	6575
430	4973	6565
431	4991	6563
432	5004	6553
433	5021	6548
434	5027	6530
435	5045	6526
436	5058	6516
437	5070	6506
438	5080	6492
439	5087	6475
440	5094	6457
441	5117	6460
442	5125	6444
443	5140	6436
444	5148	6420
445	5154	6403
446	5163	6388
447	5177	6379
448	5184	6362
449	5191	6344
450	5201	6331
451	5209	6316
452	5216	6299
453	5224	6282
454	5237	6273
455	5251	6264
456	5257	6247
457	5265	6231
458	5278	6220
459	5285	6205
460	5295	6191
461	5305	6178
462	5312	6161
463	5319	6144
464	5326	6128
465	5336	6115
466	5344	6100
467	5354	6087
468	5384	6096
469	5392	6081
470	5419	6086
471	5435	6080
472	5446	6068
473	5453	6051
474	5465	6041
475	5486	6039
476	5507	6039
477	5520	6028
478	5530	6015
479	5545	6008
480	5560	6000
481	5580	5997
482	5588	5981
483	5602	5972
484	5619	5967
485	5640	5965
486	5650	5952
487	5669	5948
488	5681	5936
489	5689	5921
490	5714	5924
491	5722	5908
492	5735	5898
493	5744	5883
494	5750	5866
495	5768	5861
496	5776	5846
497	5784	5830
498	5801	5825
499	5816	5816
500	5833	5810
501	5847	5801
502	5854	5784
503	5875	5782
504	5882	5766
505	5896	5757
506	5911	5748
507	5923	5736
508	5942	5732
509	5949	5716
510	5963	5706
511	5975	5695
512	5984	5681
513	6008	5681
514	6016	5666
515	6032	5658
516	6041	5644
517	6052	5631
518	6064	5620
519	6072	5605
520	6080	5590
521	6097	5583
522	6105	5568
523	6112	5552
524	6126	5543
525	6137	5530
526	6144	5515
527	6154	5502
528	6164	5488
529	6172	5473
530	6186	5464
531	6197	5451
532	6207	5438
533	6221	5429
534	6231	5416
535	6240	5402
536	6247	5386
537	6259	5375
538	6267	5360
539	6274	5344
540	6282	5329
541	6291	5316
542	6300	5302
543	6307	5287
544	6319	5275
545	6331	5264
546	6340	5251
547	6358	5244
548	6374	5236
549	6385	5224
550	6399	5214
551	6408	5200
552	6423	5192
553	6433	5179
554	6439	5163
555	6449	5150
556	6459	5137
557	6467	5123
558	6478	5110
559	6487	5096
560	6495	5082
561	6503	5068
562	6515	5057
563	6524	5043
564	6534	5030
565	6542	5017
566	6557	5007
567	6566	4994
568	6575	4980
569	6586	4968
570	6596	4956
571	6603	4940
572	6614	4929
573	6623	4915
574	6632	4902
575	6640	4887
576	6653	4877
577	6660	4862
578	6668	4848
579	6678	4836
580	6687	4822
581	6694	4807
582	6700	4792
583	6711	4780
584	6718	4766
585	6725	4751
586	6733	4737
587	6746	4727
588	6756	4714
589	6765	4701
590	6774	4688
591	6782	4674
592	6790	4660
593	6798	4646
594	6810	4635
595	6817	4621
596	6826	4608
597	6833	4593
598	6845	4582
599	6852	4568
600	6859	4554
601	6866	4539
602	6876	4527
603	6887	4515
604	6895	4502
605	6904	4489
606	6914	4476
607	6923	4463
608	6930	4449
609	6946	4440
610	6956	4428
611	6965	4416
612	6980	4407
613	6988	4393
614	6996	4380
615	7017	4374
616	7029	4363
617	7039	4351
618	7049	4339
619	7057	4325
620	7068	4314
621	7084	4305
622	7093	4292
623	7110	4284
624	7124	4274
625	7131	4260
626	7145	4251
627	7154	4238
628	7162	4224
629	7173	4213
630	7182	4200
631	7190	4187
632	7201	4175
633	7208	4161
634	7216	4147
635	7223	4134
636	7235	4122
637	7244	4110
638	7252	4097
639	7261	4084
640	7277	4075
641	7289	4064
642	7299	4052
643	7313	4042
644	7321	4029
645	7342	4023
646	7355	4013
647	7363	4000
648	7377	3989
649	7390	3979
650	7407	3970
651	7415	3957
652	7423	3944
653	7444	3938
654	7456	3927
655	7475	3920
656	7487	3908
657	7497	3896
658	7516	3889
659	7525	3876
660	7537	3865
661	7555	3857
662	7570	3848
663	7586	3839
664	7602	3829
665	7623	3823
666	7638	3813
667	7648	3801
668	7658	3789
669	7679	3782
670	7687	3769
671	7701	3759
672	7708	3745
673	7716	3732
674	7727	3720
675	7753	3716
676	7768	3706
677	7780	3695
678	7789	3682
679	7803	3672
680	7812	3659
681	7819	3646
682	7835	3636
683	7846	3625
684	7855	3612
685	7874	3604
686	7885	3592
687	7898	3581
688	7905	3568
689	7913	3555
690	7921	3542
691	7934	3531
692	7941	3518
693	7950	3505
694	7961	3493
695	7978	3484
696	7986	3471
697	7998	3460
698	8012	3450
699	8023	3438
700	8033	3426
701	8041	3413
702	8049	3400
703	8062	3389
704	8070	3377
705	8078	3364
706	8090	3352
707	8102	3341
708	8113	3330
709	8131	3321
710	8143	3310
711	8155	3298
712	8169	3288
713	8177	3275
714	8192	3265
715	8207	3255
716	8214	3242
717	8231	3232
718	8245	3222
719	8256	3210
720	8266	3198
721	8276	3186
722	8291	3176
723	8308	3167
724	8314	3153
725	8340	3147
726	8348	3135
727	8367	3126
728	8376	3113
729	8394	3104
730	8407	3093
731	8417	3081
732	8431	3071
733	8443	3059
734	8456	3048
735	8464	3036
736	8471	3023
737	8480	3010
738	8494	3000
739	8506	2988
740	8517	2977
741	8536	2968
742	8546	2956
743	8561	2946
744	8573	2934
745	8586	2923
746	8602	2913
747	8610	2900
748	8621	2889
749	8631	2877
750	8639	2864
751	8649	2852
752	8661	2841
753	8669	2828
754	8676	2815
755	8687	2804
756	8698	2792
757	8705	2779
758	8719	2768
759	8731	2757
760	8739	2744
761	8749	2732
762	8765	2722
763	8775	2710
764	8787	2699
765	8798	2687
766	8805	2674
767	8819	2664
768	8833	2653
769	8840	2640
770	8855	2630
771	8865	2618
772	8872	2605
773	8886	2594
774	8901	2584
775	8909	2571
776	8925	2561
777	8935	2549
