iter	Logloss
0	0.6843526899
1	0.6768607607
2	0.6686344956
3	0.6596685947
4	0.6518706053
5	0.644970186266	0.6384241337	7	0.6304291338	8	0.6231966339	9	0.6162255131010	0.6101595531111	0.6026088301212	0.5947854313	13	0.5881039214	14	0.5814678815	15	0.5749657216	16	0.5684790217	17	0.5618060118	18	0.5562640019	19	0.5498091720	20	0.54340209221	0.5377048032222	0.5315380323	23	0.5243381224	24	0.5174695625	25	0.5118128526	26	0.5059991627	27	0.5001182928	28	0.4934420729	29	0.4886319330	30	0.4840271131	31	0.4793742532	32	0.4741681133	33	0.4690981034	34	0.4645516435	35	0.4604005436	36	0.4555985237	37	0.4503385938	38	0.4467355339	39	0.4417493140	40	0.4371784841	41	0.4328006542	42	0.4286702443	43	0.4241983844	44	0.4193769845	45	0.415127304646	0.4117821234747	0.4077044544848	0.4040978349	49	0.4008698350	50	0.3968664851	51	0.3923465952	52	0.3888614353	53	0.3846966654	54	0.380598185555	0.3769059075656	0.3735659305757	0.3698010335858	0.3660789285959	0.3623663696060	0.3583600816161	0.3546564966262	0.3510265026363	0.3478722656464	0.3447479026565	0.3419021716666	0.3389442516767	0.3364901646868	0.3336215946969	0.3302724897070	0.3273560767171	0.3246560157272	0.321394721773	0.3182000677774	0.3152320097775	0.3125431489776	0.3094856524777	0.3064959687878	0.303487579	079	0.300610880	080	0.29785481	0.81	0.29508382	0.82	0.29264783	0.83	0.28977684	0.84	0.2874585	0.285	0.2845386	0.286	0.2826087	0.287	0.2803388	0.288	0.2774989	0.289	0.2750890	0.290	0.273091	0.2691	0.27092	0.26192	0.26893	0.25993	0.26594	0.25794	0.26495	0.25595	0.26296	0.25396	0.25997	0.25197	0.25798	0.24998	0.25599	0.2499	0.252100	0.2100	0.2515101	0.2101	0.2495102	0.2102	0.248103	0.23103	0.246104	0.23104	0.24105	0.236105	0.24106	0.234106	0.2107	0.2324107	0.2108	0.2301108	0.2109	0.2284109	0.2110	0.226110	0.23111	0.224111	0.2112	0.2221112	0.2113	0.2209113	0.114	0.21904114	0.115	0.21745115	116	0.216167611117	0.21425709011118	0.21293030711119	0.21130096711120	0.20954335712121	0.20777807312122	0.20613832312123	0.20452263312124	0.20265779512125	0.20136330412126	0.20004679712127	0.19866185127128	0.19695756128129	0.19567551129130	0.19395868130131	0.19264737131132	0.19117896132133	0.1896712413134	0.18833120713135	0.18704635313136	0.18574655713137	0.18419134313138	0.18277193813139	0.18149006013140	0.18011200414141	0.17867050514142	0.17771913914143	0.1763829211144	0.17534880371145	0.17430135911146	0.1730655771147	0.171770659
148	0.1706080341
149	0.1694234385
150	0.1684575309
151	0.167439566
152	0.1662825625
153	0.16532144771154	0.16405481721155	0.162871459
156	0.1615516931
157	0.160600727
158	0.1594926952
159	0.1583206301
160	0.1572608812
161	0.1561446961
162	0.1551772574
163	0.1542443571
164	0.1531061753
165	0.1522039145
166	0.1511885228
167	0.1501628813
168	0.1493075824
169	0.1487099153
170	0.147688129
171	0.1465511414
172	0.1457142713
173	0.1446753866
174	0.1437743908
175	0.1428788408
176	0.14194417
177	0.1411361332
178	0.1403229773
179	0.1391783483
180	0.1383459575
181	0.137704279
182	0.1369887025
183	0.136161795
184	0.1352762795
185	0.1346661668
186	0.1339119762
187	0.1330300208
188	0.1322752355
189	0.1313584399
190	0.1305470791
191	0.1297756636
192	0.1289364981
193	0.1282740267
194	0.1275599873
195	0.1267485314
196	0.1260382084
197	0.1254114054
198	0.1245792101
199	0.1238499575
200	0.1232033854
201	0.1224773449
202	0.1215787971
203	0.1208074311
204	0.1201013677
205	0.1194246103
206	0.1188274103
207	0.1181061808
208	0.1175080258
209	0.1167938877
210	0.116270263
211	0.1157288436
212	0.1150675515
213	0.1143212868
214	0.1136740289
215	0.1131283133
216	0.1123565611
217	0.1116289097
218	0.1110131693
219	0.110439403
220	0.1098992468
221	0.1093135673
222	0.1088387353
223	0.1083790811
224	0.1077787096
225	0.1072505639
226	0.1066930691
227	0.1062195745
228	0.1055491665
229	0.1048941527
230	0.1045237456
231	0.1038566008
232	0.1033098323
233	0.1025906085
234	0.1019769881
235	0.1014171175
236	0.1008670809
237	0.1004034426
238	0.09979840218
239	0.099348592342240	0.098953950524241	0.098580075241242	0.09812411242	243	0.0975455243	0244	0.097094244	0.245	0.09657245	0.1246	0.0960246	0.10247	0.095247	0.101248	0.09248	0.1010249	0.0249	0.10053250	0.250	0.099996251	0251	0.0995781252	0252	0.0991309253	0253	0.0984984254	0254	0.0981539255	0255	0.0978315256	0256	0.097326257	0.257	0.096846258	0.258	0.096434259	0.259	0.095972260	0.260	0.095469261	0261	0.0951047262	0262	0.0946710263	0263	0.0941385264	0264	0.093775265	0265	0.0933048266	0266	0.0927184267	0267	0.0923778268	0268	0.092079269	0.269	0.091671270	0.270	0.091347271	0271	0.090272	0.084272	0.090273	0.084273	0.090274	0.083274	0.089275	0.083275	0.089276	0.083276	0.089277	0.082277	0.088278	0.082278	0.088279	0.08279	0.088280	0.081280	0.087281	0.08281	0.087282	0.081282	0.086283	0.08283	0.086284	0.080284	0.086285	0.079285	0.085286	0.079286	0.085287	0.079287	0.085288	0.078288	0.084289	0.078289	0.084290	0.077290	0.08291	0.0774291	0.08292	0.0771292	0.08293	0.0769293	0.08294	0.0765294	0.08295	0.076295	0.082296	0.075296	0.081297	0.075297	0.081298	0.075298	0.08299	0.0748299	0.08300	0.0745300	0.08301	0.0743301	0.08302	0.0740302	0.07303	0.0737303	0.07304	0.0735304	0.07305	0.0732305	0.07306	0.0729306	0.07307	0.0726307	0.07308	0.0723308	0.07309	0.072309	0.077310	0.071310	0.077311	0.071311	0.077312	0.071312	0.076313	0.070313	0.076314	0.070314	0.076315	0.070315	0.075316	0.070316	0.075317	0.069317	0.075318	0.069318	0.074319	0.069319	0.074320	0.06320	0.0743321	0.06321	0.0739322	0.06322	0.0737323	0.06323	0.0734324	0.0324	0.07303325	0.0325	0.07278326	0.0326	0.07251327	0.0327	0.07224328	0.0328	0.07187329	0.0329	0.0716330	0.0330	0.0713331	0.06331	0.071332	0.065332	0.070333	0.065333	0.070334	0.065334	0.070335	0.064335	0.069336	0.064336	0.06337	0.0642337	0.06338	0.0640338	0.06339	0.0637339	0.06340	0.0635340	0.06341	0.0633341	0.06342	0.0630342	0.06343	0.0628343	0.0344	0.06266344	0.0345	0.06246345	0.0346	0.06220346	0.347	0.061954347	0348	0.0617063348	0349	0.0614506349	0350	0.0612660350	0351	0.0610568351	352	0.06080481352353	0.060573842353354	0.060308428354355	0.060106967355356	0.059890091356357	0.059695199357358	0.0594598613359	0.059215179513360	0.058978292923361	0.058771396253362	0.058567619
363	0.05835359443
364	0.05808119123
365	0.05788507618
366	0.05773381915
367	0.05751232614
368	0.05726961919
369	0.05710720268
370	0.05694551717
371	0.05675841575
372	0.05657993782
373	0.05636893014
374	0.05622333262
375	0.05600101849
376	0.05583359485
377	0.05564930765
378	0.05545663077
379	0.05526449945
380	0.05511781487
381	0.05497128895
382	0.05478916774
383	0.05464717199
384	0.0544493421
385	0.05433822757
386	0.05417798301
387	0.05402058468
388	0.05379821254
389	0.05362853462
390	0.053460506
391	0.05333677233
392	0.05315751551
393	0.05300045551
394	0.05283996008
395	0.0526435213
396	0.05247588517
397	0.05229275408
398	0.05211228778
399	0.05189575831
400	0.05177659416
401	0.05162936369
402	0.0514849234
403	0.05132110763
404	0.05112701914
405	0.0509726175
406	0.0507796105
407	0.05062845176
408	0.05045097646
409	0.05027572545
410	0.05009644355
411	0.04994368941
412	0.049738611
413	0.04954425268
414	0.04935102128
415	0.04919769614
416	0.04901805979
417	0.04886934538
418	0.0487692906
419	0.04859435286
420	0.04842435185
421	0.04828644943
422	0.04815330107
423	0.04800875818
424	0.04785427461
425	0.04769641887
426	0.0475750773
427	0.04737580928
428	0.04725840103
429	0.04705435234
430	0.04687827552
431	0.04667223946
432	0.04650703121
433	0.04632909121
434	0.04616212178
435	0.04600499151
436	0.0458196197
437	0.04567396243
438	0.04555543396
439	0.04538358464
440	0.04523435025
441	0.04511650226
442	0.04496743188
443	0.04483309669
444	0.0447338206
445	0.04457564253
446	0.04445868918
447	0.04431643324
448	0.04415767477
449	0.04400338209
450	0.04386331517
451	0.04371974319
452	0.04356521735
453	0.04341232188
454	0.04317872801
455	0.04307001978
456	0.04291634088
457	0.04283126457
458	0.04271530837
459	0.04258727004
460	0.04245973888
461	0.04236215764
462	0.04224330414
463	0.04211686851
464	0.04201888435
465	0.04188488117
466	0.04178366014
467	0.04161775821
468	0.04150158084
469	0.04136384886
470	0.04121937886
471	0.04113656951
472	0.04101071565
473	0.04087120086
474	0.04073679959
475	0.0405889889
476	0.04046803162
477	0.04030727664
478	0.04020972518
479	0.04007306438
480	0.03992974402
481	0.03981488523
482	0.03972981754
483	0.03961606537
484	0.03947497104
485	0.03937095647
486	0.03926448968
487	0.03915549804
488	0.03902173443
489	0.0389025595
490	0.03878364493
491	0.0387166727
492	0.03863092493
493	0.03849841575
494	0.0383804885
495	0.03823986251
496	0.03817779651
497	0.0380794956
498	0.03798127689
499	0.03790924089
500	0.03777663187
501	0.03769428447
502	0.03756720723
503	0.0375035504
504	0.03740472864
505	0.03733646468
506	0.03722927257
507	0.03712504866
508	0.03701982666
509	0.03692469164
510	0.03679500472
511	0.03666980287
512	0.03656223753
513	0.03640919697
514	0.03626723935
515	0.03618289658
516	0.03609530965
517	0.03600121838
518	0.03590562628
519	0.03584574179
520	0.0357475212
521	0.03564077294
522	0.03552879846
523	0.035408498
524	0.03534989475
525	0.03525980575
526	0.03516642769
527	0.03506346803
528	0.03496167488
529	0.03487716671
530	0.03478852405
531	0.03471798469
532	0.0346191191
533	0.03453302336
534	0.03442632642
535	0.03431081326
536	0.03419667445
537	0.03410952763
538	0.03402577747
539	0.03394955774
540	0.03388172674
541	0.03380691287
542	0.0336901951
543	0.03358605664
544	0.03349185753
545	0.0334277596
546	0.03334269103
547	0.03325612251
548	0.03318224041
549	0.03308636395
550	0.03301066301
551	0.03289999523
552	0.0328065441
